,distance,sending_weekday,delivery_type,post_office_type,sending_hour_category,vehicle_travel_time,sending_hour,delivery_time_hours
321,247.0,4,Priority registered letter,UP,0,2.4262295081967213,14,67.06666666666666
322,700.0,4,Priority registered letter,UP,0,6.622950819672131,14,70.08333333333333
323,132.0,4,Priority registered letter,UP,0,1.9344262295081966,14,97.7
324,63.3,4,Priority registered letter,UP,0,0.9344262295081968,14,71.9
325,230.0,4,Priority registered letter,UP,0,2.5081967213114753,14,67.83333333333333
326,0.0,4,Economy registered letter,UP,0,0.0,14,72.05
327,0.0,4,Economy registered letter,UP,0,0.0,14,70.06666666666666
328,0.0,4,Economy registered letter,UP,0,0.0,14,72.31666666666666
329,0.0,4,Economy registered letter,UP,0,0.0,14,71.23333333333333
330,0.0,4,Economy registered letter,UP,0,0.0,14,68.46666666666667
331,0.0,4,Economy registered letter,UP,0,0.0,14,70.68333333333334
332,93.4,4,Economy registered letter,UP,0,1.0819672131147542,14,97.53333333333333
333,0.0,4,Economy registered letter,UP,0,0.0,14,72.06666666666666
334,280.0,4,Economy registered letter,UP,0,2.8360655737704916,14,112.88333333333334
335,0.0,4,Economy registered letter,UP,0,0.0,14,70.31666666666666
336,0.0,4,Economy registered letter,UP,0,0.0,14,70.43333333333334
337,61.1,4,Economy registered letter,UP,0,0.9344262295081968,14,70.11666666666666
338,287.0,4,Economy registered letter,UP,0,3.7540983606557377,14,65.86666666666666
339,20.6,4,Economy registered letter,UP,0,0.32786885245901637,14,67.9
340,61.8,4,Economy registered letter,UP,0,0.8688524590163934,14,66.25
341,0.0,4,Economy registered letter,UP,0,0.0,14,67.08333333333333
342,0.0,4,Economy registered letter,UP,0,0.0,14,67.08333333333333
343,0.0,4,Economy registered letter,UP,0,0.0,14,68.91666666666667
344,61.8,4,Priority registered letter,UP,0,0.8688524590163934,14,66.1
345,394.0,4,Priority registered letter,UP,0,4.098360655737705,14,66.81666666666666
346,20.6,4,Economy registered letter,UP,0,0.32786885245901637,14,67.46666666666667
347,400.0,4,Economy registered letter,UP,1,3.819672131147541,15,95.61666666666666
348,340.0,4,Economy registered letter,UP,1,3.360655737704918,15,139.86666666666667
349,20.6,4,Economy registered letter,UP,1,0.32786885245901637,15,67.1
350,157.0,4,Economy registered letter,UP,1,2.0,15,74.06666666666666
351,39.5,4,Priority registered letter,UP,1,0.7049180327868853,15,64.36666666666666
352,394.0,4,Economy registered letter,UP,1,3.8688524590163933,15,116.66666666666667
353,138.0,4,Economy registered letter,UP,1,1.8852459016393444,15,66.31666666666666
354,0.0,4,Economy registered letter,UP,1,0.0,15,68.3
355,0.0,4,Economy registered letter,UP,1,0.0,15,66.31666666666666
356,0.0,4,Economy registered letter,UP,1,0.0,15,66.9
357,20.6,4,Economy registered letter,UP,1,0.32786885245901637,15,65.41666666666667
358,0.0,4,Economy registered letter,UP,1,0.0,15,67.23333333333333
359,456.0,4,Priority registered letter,UP,1,4.377049180327869,16,90.96666666666667
360,454.0,0,Economy registered letter,UP,0,4.327868852459017,9,72.45
361,39.5,0,Priority registered letter,UP,0,0.7049180327868853,9,21.383333333333333
362,23.4,0,Economy registered letter,UP,0,0.4098360655737705,9,71.86666666666666
